,grid,position,driverId,position_m1,position_m2,position_m3,position_m4,position_m5,circuitId,round,year,constructorId,circuitId_m1,circuitId_m2,circuitId_m3,circuitId_m4,circuitId_m5,rain,norm_overtakes
0,1,1,1,7.0,-1.0,1.0,4.0,2.0,1,1,2008,1.0,18,17,16,13,14,0.0,0.6261622992392224
1,5,2,2,6.0,7.0,14.0,5.0,4.0,1,1,2008,2.0,18,17,16,13,14,0.0,0.6261622992392224
2,7,3,3,4.0,16.0,-1.0,6.0,6.0,1,1,2008,3.0,18,17,16,13,14,0.0,0.6261622992392224
3,11,4,4,3.0,2.0,-1.0,3.0,1.0,1,1,2008,4.0,18,17,16,13,14,0.0,0.6261622992392224
4,3,5,5,-1.0,9.0,2.0,8.0,7.0,1,1,2008,1.0,18,17,16,13,14,0.0,0.6261622992392224
5,13,6,6,10.0,-1.0,-1.0,-1.0,-1.0,1,1,2008,3.0,18,17,16,13,14,0.0,0.6261622992392224
6,17,7,7,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,2008,5.0,18,17,16,13,14,0.0,0.6261622992392224
7,15,8,8,1.0,1.0,3.0,1.0,3.0,1,1,2008,6.0,18,17,16,13,14,0.0,0.6261622992392224
8,2,-1,9,5.0,-1.0,7.0,9.0,5.0,1,1,2008,2.0,18,17,16,13,14,0.0,0.6261622992392224
9,18,-1,10,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,2008,7.0,18,17,16,13,14,0.0,0.6261622992392224
10,19,-1,11,12.0,14.0,15.0,15.0,16.0,1,1,2008,8.0,18,17,16,13,14,0.0,0.6261622992392224
11,20,-1,12,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,2008,4.0,18,17,16,13,14,0.0,0.6261622992392224
12,4,-1,13,2.0,3.0,6.0,2.0,-1.0,1,1,2008,6.0,18,17,16,13,14,0.0,0.6261622992392224
13,8,-1,14,9.0,8.0,4.0,-1.0,-1.0,1,1,2008,9.0,18,17,16,13,14,0.0,0.6261622992392224
14,6,-1,15,8.0,13.0,13.0,11.0,11.0,1,1,2008,7.0,18,17,16,13,14,0.0,0.6261622992392224
15,22,-1,16,-1.0,-1.0,8.0,14.0,19.0,1,1,2008,10.0,18,17,16,13,14,0.0,0.6261622992392224
16,14,-1,17,-1.0,10.0,-1.0,7.0,9.0,1,1,2008,9.0,18,17,16,13,14,0.0,0.6261622992392224
17,12,-1,18,-1.0,5.0,11.0,-1.0,8.0,1,1,2008,11.0,18,17,16,13,14,0.0,0.6261622992392224
18,21,-1,19,14.0,-1.0,-1.0,16.0,14.0,1,1,2008,8.0,18,17,16,13,14,0.0,0.6261622992392224
19,9,-1,20,-1.0,4.0,-1.0,-1.0,18.0,1,1,2008,5.0,18,17,16,13,14,0.0,0.6261622992392224
20,16,-1,21,-1.0,11.0,5.0,-1.0,12.0,1,1,2008,10.0,18,17,16,13,14,0.0,0.6261622992392224
21,10,-1,22,-1.0,15.0,10.0,13.0,10.0,1,1,2008,11.0,18,17,16,13,14,0.0,0.6261622992392224
22,2,1,8,8.0,1.0,1.0,3.0,1.0,2,2,2008,6.0,1,18,17,16,13,0.0,0.7264314632735686
23,4,2,9,-1.0,5.0,-1.0,7.0,9.0,2,2,2008,2.0,1,18,17,16,13,0.0,0.7264314632735686
24,8,3,5,5.0,-1.0,9.0,2.0,8.0,2,2,2008,1.0,1,18,17,16,13,0.0,0.7264314632735686
25,3,4,15,-1.0,8.0,13.0,13.0,11.0,2,2,2008,7.0,1,18,17,16,13,0.0,0.7264314632735686
26,9,5,1,1.0,7.0,-1.0,1.0,4.0,2,2,2008,1.0,1,18,17,16,13,0.0,0.7264314632735686
27,5,6,2,2.0,6.0,7.0,14.0,5.0,2,2,2008,2.0,1,18,17,16,13,0.0,0.7264314632735686
28,6,7,17,-1.0,-1.0,10.0,-1.0,7.0,2,2,2008,9.0,1,18,17,16,13,0.0,0.7264314632735686
29,7,8,4,4.0,3.0,2.0,-1.0,3.0,2,2,2008,4.0,1,18,17,16,13,0.0,0.7264314632735686
30,12,9,14,-1.0,9.0,8.0,4.0,-1.0,2,2,2008,9.0,1,18,17,16,13,0.0,0.7264314632735686
31,11,10,18,-1.0,-1.0,5.0,11.0,-1.0,2,2,2008,11.0,1,18,17,16,13,0.0,0.7264314632735686
32,13,11,12,-1.0,-1.0,-1.0,-1.0,-1.0,2,2,2008,4.0,1,18,17,16,13,0.0,0.7264314632735686
33,17,12,21,-1.0,-1.0,11.0,5.0,-1.0,2,2,2008,10.0,1,18,17,16,13,0.0,0.7264314632735686
34,14,13,22,-1.0,-1.0,15.0,10.0,13.0,2,2,2008,11.0,1,18,17,16,13,0.0,0.7264314632735686
35,16,14,3,3.0,4.0,16.0,-1.0,6.0,2,2,2008,3.0,1,18,17,16,13,0.0,0.7264314632735686
36,21,15,19,-1.0,14.0,-1.0,-1.0,16.0,2,2,2008,8.0,1,18,17,16,13,0.0,0.7264314632735686
37,19,16,11,-1.0,12.0,14.0,15.0,15.0,2,2,2008,8.0,1,18,17,16,13,0.0,0.7264314632735686
38,22,17,6,6.0,10.0,-1.0,-1.0,-1.0,2,2,2008,3.0,1,18,17,16,13,0.0,0.7264314632735686
39,15,-1,20,-1.0,-1.0,4.0,-1.0,-1.0,2,2,2008,5.0,1,18,17,16,13,0.0,0.7264314632735686
40,1,-1,13,-1.0,2.0,3.0,6.0,2.0,2,2,2008,6.0,1,18,17,16,13,0.0,0.7264314632735686
41,20,-1,16,-1.0,-1.0,-1.0,8.0,14.0,2,2,2008,10.0,1,18,17,16,13,0.0,0.7264314632735686
42,10,-1,10,-1.0,-1.0,-1.0,-1.0,-1.0,2,2,2008,7.0,1,18,17,16,13,0.0,0.7264314632735686
43,18,-1,7,7.0,-1.0,-1.0,-1.0,-1.0,2,2,2008,5.0,1,18,17,16,13,0.0,0.7264314632735686
44,2,1,13,-1.0,-1.0,2.0,3.0,6.0,3,3,2008,6.0,2,1,18,17,16,0.0,0.7623626373626373
45,4,2,8,1.0,8.0,1.0,1.0,3.0,3,3,2008,6.0,2,1,18,17,16,0.0,0.7623626373626373
46,1,3,9,2.0,-1.0,5.0,-1.0,7.0,3,3,2008,2.0,2,1,18,17,16,0.0,0.7623626373626373
47,6,4,2,6.0,2.0,6.0,7.0,14.0,3,3,2008,2.0,2,1,18,17,16,0.0,0.7623626373626373
48,5,5,5,3.0,5.0,-1.0,9.0,2.0,3,3,2008,1.0,2,1,18,17,16,0.0,0.7623626373626373
49,7,6,15,4.0,-1.0,8.0,13.0,13.0,3,3,2008,7.0,2,1,18,17,16,0.0,0.7623626373626373
50,11,7,17,7.0,-1.0,-1.0,10.0,-1.0,3,3,2008,9.0,2,1,18,17,16,0.0,0.7623626373626373
51,8,8,3,14.0,3.0,4.0,16.0,-1.0,3,3,2008,3.0,2,1,18,17,16,0.0,0.7623626373626373
52,13,9,10,-1.0,-1.0,-1.0,-1.0,-1.0,3,3,2008,7.0,2,1,18,17,16,0.0,0.7623626373626373
53,10,10,4,8.0,4.0,3.0,2.0,-1.0,3,3,2008,4.0,2,1,18,17,16,0.0,0.7623626373626373
54,12,11,22,13.0,-1.0,-1.0,15.0,10.0,3,3,2008,11.0,2,1,18,17,16,0.0,0.7623626373626373
55,18,12,21,12.0,-1.0,-1.0,11.0,5.0,3,3,2008,10.0,2,1,18,17,16,0.0,0.7623626373626373
56,3,13,1,5.0,1.0,7.0,-1.0,1.0,3,3,2008,1.0,2,1,18,17,16,0.0,0.7623626373626373
57,16,14,6,17.0,6.0,10.0,-1.0,-1.0,3,3,2008,3.0,2,1,18,17,16,0.0,0.7623626373626373
58,15,15,7,-1.0,7.0,-1.0,-1.0,-1.0,3,3,2008,5.0,2,1,18,17,16,0.0,0.7623626373626373
59,21,16,19,15.0,-1.0,14.0,-1.0,-1.0,3,3,2008,8.0,2,1,18,17,16,0.0,0.7623626373626373
60,22,17,11,16.0,-1.0,12.0,14.0,15.0,3,3,2008,8.0,2,1,18,17,16,0.0,0.7623626373626373
61,17,18,14,9.0,-1.0,9.0,8.0,4.0,3,3,2008,9.0,2,1,18,17,16,0.0,0.7623626373626373
62,20,19,16,-1.0,-1.0,-1.0,-1.0,8.0,3,3,2008,10.0,2,1,18,17,16,0.0,0.7623626373626373
63,14,-1,12,11.0,-1.0,-1.0,-1.0,-1.0,3,3,2008,4.0,2,1,18,17,16,0.0,0.7623626373626373
64,9,-1,18,10.0,-1.0,-1.0,5.0,11.0,3,3,2008,11.0,2,1,18,17,16,0.0,0.7623626373626373
65,19,-1,20,-1.0,-1.0,-1.0,4.0,-1.0,3,3,2008,5.0,2,1,18,17,16,0.0,0.7623626373626373
66,1,1,8,2.0,1.0,8.0,1.0,1.0,4,4,2008,6.0,3,2,1,18,17,0.0,0.6828885400313972
67,3,2,13,1.0,-1.0,-1.0,2.0,3.0,4,4,2008,6.0,3,2,1,18,17,0.0,0.6828885400313972
68,5,3,1,13.0,5.0,1.0,7.0,-1.0,4,4,2008,1.0,3,2,1,18,17,0.0,0.6828885400313972
69,4,4,9,3.0,2.0,-1.0,5.0,-1.0,4,4,2008,2.0,3,2,1,18,17,0.0,0.6828885400313972
70,7,5,17,7.0,7.0,-1.0,-1.0,10.0,4,4,2008,9.0,3,2,1,18,17,0.0,0.6828885400313972
71,13,6,18,-1.0,10.0,-1.0,-1.0,5.0,4,4,2008,11.0,3,2,1,18,17,0.0,0.6828885400313972
72,12,7,6,14.0,17.0,6.0,10.0,-1.0,4,4,2008,3.0,3,2,1,18,17,0.0,0.6828885400313972
73,8,8,15,6.0,4.0,-1.0,8.0,13.0,4,4,2008,7.0,3,2,1,18,17,0.0,0.6828885400313972
74,9,9,2,4.0,6.0,2.0,6.0,7.0,4,4,2008,2.0,3,2,1,18,17,0.0,0.6828885400313972
75,19,10,21,12.0,12.0,-1.0,-1.0,11.0,4,4,2008,10.0,3,2,1,18,17,0.0,0.6828885400313972
76,14,11,10,9.0,-1.0,-1.0,-1.0,-1.0,4,4,2008,7.0,3,2,1,18,17,0.0,0.6828885400313972
77,17,12,14,18.0,9.0,-1.0,9.0,8.0,4,4,2008,9.0,3,2,1,18,17,0.0,0.6828885400313972
78,22,13,11,17.0,16.0,-1.0,12.0,14.0,4,4,2008,8.0,3,2,1,18,17,0.0,0.6828885400313972
79,15,-1,3,8.0,14.0,3.0,4.0,16.0,4,4,2008,3.0,3,2,1,18,17,0.0,0.6828885400313972
80,2,-1,4,10.0,8.0,4.0,3.0,2.0,4,4,2008,4.0,3,2,1,18,17,0.0,0.6828885400313972
81,11,-1,22,11.0,13.0,-1.0,-1.0,15.0,4,4,2008,11.0,3,2,1,18,17,0.0,0.6828885400313972
82,6,-1,5,5.0,3.0,5.0,-1.0,9.0,4,4,2008,1.0,3,2,1,18,17,0.0,0.6828885400313972
83,21,-1,19,16.0,15.0,-1.0,14.0,-1.0,4,4,2008,8.0,3,2,1,18,17,0.0,0.6828885400313972
84,16,-1,7,15.0,-1.0,7.0,-1.0,-1.0,4,4,2008,5.0,3,2,1,18,17,0.0,0.6828885400313972
85,10,-1,12,-1.0,11.0,-1.0,-1.0,-1.0,4,4,2008,4.0,3,2,1,18,17,0.0,0.6828885400313972
86,20,-1,16,19.0,-1.0,-1.0,-1.0,-1.0,4,4,2008,10.0,3,2,1,18,17,0.0,0.6828885400313972
87,18,-1,20,-1.0,-1.0,-1.0,-1.0,4.0,4,4,2008,5.0,3,2,1,18,17,0.0,0.6828885400313972
88,1,1,13,2.0,1.0,-1.0,-1.0,2.0,5,5,2008,6.0,4,3,2,1,18,0.0,0.7136752136752137
89,3,2,1,3.0,13.0,5.0,1.0,7.0,5,5,2008,1.0,4,3,2,1,18,0.0,0.7136752136752137
90,4,3,8,1.0,2.0,1.0,8.0,1.0,5,5,2008,6.0,4,3,2,1,18,0.0,0.7136752136752137
91,5,4,9,4.0,3.0,2.0,-1.0,5.0,5,5,2008,2.0,4,3,2,1,18,0.0,0.7136752136752137
92,9,5,2,9.0,4.0,6.0,2.0,6.0,5,5,2008,2.0,4,3,2,1,18,0.0,0.7136752136752137
93,7,6,4,-1.0,10.0,8.0,4.0,3.0,5,5,2008,4.0,4,3,2,1,18,0.0,0.7136752136752137
