,finish
2,3
4,5
5,6
7,8
8,9
10,11
12,13
13,14
14,25
15,25
16,25
17,25
18,25
19,25
20,25
21,25
22,25
23,25
24,1
25,2
26,3
27,4
28,5
30,7
31,8
32,9
33,10
34,11
35,12
36,13
39,16
41,25
42,25
44,25
45,25
48,1
49,2
50,3
51,4
52,5
54,7
55,8
56,9
57,10
58,11
59,12
60,13
61,14
62,15
63,16
64,17
65,18
66,19
67,20
68,21
69,22
70,23
71,25
72,1
74,3
75,4
76,5
77,6
78,7
79,8
80,9
81,10
82,11
83,12
84,13
85,14
86,15
87,16
88,17
89,18
90,19
91,20
92,21
93,22
95,25
96,1
97,2
98,3
99,4
100,5
103,8
104,9
105,10
106,11
107,12
108,13
109,14
110,15
111,16
112,17
113,18
114,19
115,20
116,21
118,25
119,25
120,1
121,2
123,4
125,6
126,7
127,8
128,9
129,10
130,11
131,12
132,13
133,14
134,15
136,17
138,25
139,25
141,25
142,25
143,25
144,1
145,2
146,3
147,4
148,5
150,7
151,8
152,9
153,10
154,11
156,13
157,14
158,15
159,16
160,17
161,18
163,25
164,25
165,25
166,25
167,25
168,1
169,2
172,5
173,6
174,7
175,8
176,9
177,10
178,11
179,12
180,13
181,14
183,16
184,17
186,19
188,21
191,24
195,4
196,5
198,7
199,8
200,9
201,10
203,12
204,13
205,14
206,15
207,16
209,18
210,19
211,25
212,25
213,25
214,25
215,25
216,1
217,2
218,3
219,4
221,6
225,10
226,11
228,13
230,15
231,16
233,18
234,19
235,20
237,25
238,25
239,25
240,1
241,2
242,3
243,4
244,5
245,6
246,7
247,8
248,9
249,10
250,11
251,12
252,13
254,15
255,16
259,20
260,25
261,25
263,25
264,1
265,2
267,4
268,5
270,7
271,8
272,9
273,10
274,11
275,12
276,13
279,16
280,17
282,19
283,25
284,25
285,25
286,25
287,25
288,1
289,2
290,3
291,4
292,5
293,6
294,7
295,8
296,9
297,10
298,11
299,12
303,25
304,25
305,25
306,25
307,25
308,25
309,25
310,25
312,1
314,3
315,4
316,5
319,8
320,9
321,10
322,11
323,12
324,13
325,14
326,15
327,16
328,17
329,18
330,19
331,20
332,21
336,1
338,3
339,4
340,5
341,6
342,7
343,8
344,9
345,10
347,12
348,13
349,14
350,15
351,16
352,17
353,18
354,19
355,20
356,21
357,22
358,23
359,25
361,2
362,3
363,4
364,5
365,6
366,7
368,9
371,12
372,13
373,14
374,15
375,16
377,18
379,20
380,21
381,25
382,25
383,25
384,1
385,2
386,3
387,4
388,5
389,6
390,7
391,8
392,9
393,10
395,12
396,13
398,15
399,16
400,17
402,19
403,25
404,25
405,25
406,25
408,1
409,2
410,3
411,4
414,7
415,8
416,9
417,10
419,12
420,13
421,14
422,15
423,16
424,17
425,18
426,19
427,20
430,25
431,25
432,1
433,2
434,3
438,7
439,8
440,9
441,10
442,11
443,12
444,13
445,14
446,15
447,16
448,17
449,18
451,20
452,25
453,25
454,25
456,1
457,2
458,3
459,4
460,5
461,6
462,7
464,9
465,10
466,11
467,12
469,14
470,15
471,16
472,25
474,25
475,25
476,25
477,25
478,25
479,25
480,1
481,2
483,4
484,5
485,6
486,7
488,9
489,10
490,11
491,12
493,14
494,15
495,16
496,17
498,19
499,20
500,21
501,22
502,25
503,25
504,1
505,2
506,3
508,5
509,6
510,7
512,9
513,10
514,11
515,12
516,13
517,14
518,15
519,16
520,17
521,18
522,19
523,20
524,21
525,22
527,25
528,1
529,2
530,3
531,4
534,7
536,9
537,10
538,11
540,13
541,14
542,15
544,17
545,18
546,19
547,20
548,21
549,22
551,25
552,1
553,2
554,3
555,4
557,6
560,9
561,10
563,12
564,13
565,14
567,16
569,18
571,25
572,25
573,25
574,25
575,25
576,1
577,2
579,4
580,5
581,6
582,7
583,8
585,10
586,11
589,14
590,15
592,25
595,25
597,25
598,25
599,25
600,1
601,2
602,3
603,4
604,5
606,7
607,8
608,9
609,10
611,12
612,13
613,14
614,15
615,16
616,17
617,18
618,19
619,20
620,21
621,25
622,25
623,25
624,1
625,2
626,3
628,5
629,6
631,8
632,9
633,10
634,11
636,13
637,14
639,16
640,17
643,25
644,25
645,25
647,25
648,1
649,2
650,3
651,4
652,5
653,6
654,7
655,8
657,10
658,11
659,12
660,13
661,14
662,15
663,16
664,17
666,19
667,20
668,21
669,25
670,25
672,1
673,2
676,5
677,6
678,7
680,9
681,10
682,11
683,12
684,13
685,14
686,15
687,16
688,17
689,18
690,19
691,20
692,21
693,22
694,23
695,25
696,1
697,2
698,3
699,4
700,5
702,7
704,9
706,11
707,12
708,13
709,14
712,17
713,18
714,19
715,20
718,25
721,2
722,3
723,4
726,7
727,8
728,9
729,10
732,13
733,14
736,17
737,18
738,25
739,25
740,25
742,25
743,25
744,1
745,2
746,3
749,6
750,7
752,9
753,10
754,11
755,12
756,13
758,15
759,16
760,17
762,19
764,21
765,22
767,25
768,1
769,2
770,3
771,4
772,5
773,6
774,7
776,9
778,11
779,12
783,16
784,17
785,18
786,19
787,25
789,25
790,25
791,25
792,1
793,2
794,3
795,4
796,5
797,6
798,7
799,8
800,9
801,10
802,11
803,12
804,13
806,15
807,16
808,17
809,18
810,19
812,25
813,25
814,25
816,1
817,2
818,3
819,4
821,6
822,7
823,8
824,9
825,10
826,11
827,12
828,13
830,15
832,17
834,19
836,25
838,25
839,25
840,1
841,2
842,3
844,5
845,6
846,7
848,9
849,10
850,11
851,12
852,13
854,15
855,16
857,18
859,20
860,21
861,22
863,25
864,1
866,3
867,4
868,5
869,6
870,7
872,9
873,10
875,12
877,14
878,15
880,17
881,25
882,25
884,25
885,25
887,25
888,1
889,2
890,3
891,4
892,5
893,6
894,7
896,9
897,10
898,11
899,12
900,13
901,14
902,15
904,17
905,18
906,19
907,20
908,21
910,25
912,1
913,2
915,4
916,5
917,6
918,7
919,8
920,9
921,10
922,11
923,12
924,13
925,14
926,15
927,16
929,18
930,19
932,25
935,25
937,2
938,3
939,4
941,6
942,7
943,8
945,10
946,11
947,12
948,13
949,14
950,15
952,17
954,25
955,25
956,25
959,2
960,3
961,4
962,5
963,6
964,7
965,8
966,9
968,11
969,12
971,14
972,15
975,18
976,25
977,25
978,25
980,1
981,2
982,3
983,4
984,5
985,6
986,7
987,8
988,9
989,10
991,12
992,13
993,14
996,17
997,18
999,25
1000,25
1001,25
1002,1
1003,2
1004,3
1006,5
1007,6
1008,7
1009,8
1010,9
1011,10
1013,12
1015,14
1016,15
1017,16
1018,17
1020,19
1022,21
1024,1
1025,2
1026,3
1027,4
1030,7
1031,8
1032,9
1034,11
1035,12
1039,16
1041,18
1042,19
1043,20
1044,21
1045,22
1046,1
1047,2
1048,3
1049,4
1050,5
1051,6
1053,8
1054,9
1055,10
1056,11
1057,12
1058,13
1059,14
1060,15
1061,16
1062,25
1064,25
1065,25
1066,25
1069,2
1070,3
1071,4
1073,6
1074,7
1075,8
1077,10
1078,11
1079,12
1080,13
1081,14
1082,15
1083,16
1084,17
1085,18
1086,19
1087,20
1089,25
1090,1
1091,2
1092,3
1093,4
1094,5
1095,6
1098,9
1102,13
1103,14
1105,16
1107,18
1108,19
1110,25
1111,25
1113,2
1114,3
1115,4
1116,5
1120,9
1121,10
1122,11
1124,13
1125,14
1126,15
1127,16
1128,17
1129,18
1130,19
1131,25
1132,25
1133,25
1134,1
1135,2
1136,3
1137,4
1138,5
1139,6
1140,7
1142,9
1143,10
1145,12
1147,14
1148,15
1149,16
1150,17
1151,18
1153,25
1155,25
1156,1
1157,2
1159,4
1160,5
1162,7
1163,8
1164,9
1165,10
1166,11
1167,12
1168,13
1170,15
1171,16
1173,18
1174,19
1175,25
1176,25
1177,25
1178,1
1179,2
1180,3
1181,4
1182,5
1183,6
1186,9
1188,11
1189,12
1190,13
1191,14
1192,15
1193,16
1194,17
1195,18
1196,19
1198,25
1199,25
1201,2
1202,3
1203,4
1204,5
1205,6
1207,8
1209,10
1210,11
1211,12
1212,13
1213,14
1214,15
1215,16
1216,17
1217,18
1218,19
1219,20
1220,25
1222,1
1223,2
1224,3
1225,4
1226,5
1227,6
1228,7
1229,8
1230,9
1232,11
1234,13
1235,14
1236,15
1237,16
1238,17
1239,18
1240,19
1241,20
1242,25
1243,25
1245,2
1246,3
1247,4
1249,6
1252,9
1253,10
1254,11
1256,13
1257,14
1258,15
1259,16
1260,17
1262,19
1263,25
1264,25
1266,1
1267,2
1269,4
1270,5
1271,6
1272,7
1273,8
1274,9
1275,10
1276,11
1277,12
1278,13
1281,16
1282,17
1283,18
1285,25
1287,25
1288,1
1289,2
1290,3
1294,7
1295,8
1296,9
1297,10
1298,11
1300,13
1301,14
1302,15
1303,16
1305,18
1306,19
1307,20
1309,25
1310,1
1311,2
1312,3
1313,4
1315,6
1318,9
1319,10
1320,11
1321,12
1322,13
1324,15
1325,16
1329,20
1330,21
1331,25
1332,1
1333,2
1335,4
1336,5
1337,6
1338,7
1341,10
1342,11
1343,12
1344,13
1345,14
1346,15
1347,16
1348,17
1349,18
1351,25
1352,25
1354,1
1355,2
1356,3
1357,4
1358,5
1361,8
1362,9
1363,10
1364,11
1365,12
1366,13
1367,25
1368,25
1369,25
1370,25
1371,25
1372,25
1373,25
1375,25
1376,1
1377,2
1378,3
1379,4
1380,5
1381,6
1382,7
1383,8
1387,12
1389,14
1391,25
1392,25
1393,25
1394,25
1396,25
1398,1
1399,2
1400,3
1401,4
1404,7
1406,9
1407,10
1408,11
1409,12
1411,14
1413,16
1414,17
1415,25
1416,25
1417,25
1418,25
1419,25
1420,1
1422,3
1424,5
1425,6
1426,7
1427,8
1429,10
1430,11
1431,12
1432,13
1433,14
1434,15
1435,16
1436,17
1437,18
1438,19
1440,25
1442,1
1444,3
1446,5
1447,6
1448,7
1449,8
1450,9
1451,10
1454,13
1456,15
1457,16
1458,17
1460,19
1461,20
1462,25
1464,1
1465,2
1466,3
1467,4
1468,5
1470,7
1471,8
1472,9
1473,10
1474,11
1475,12
1476,13
1477,14
1478,25
1479,25
1480,25
1481,25
1482,25
1484,25
1487,2
1490,5
1492,7
1493,8
